Varnsdorf	50.91154	14.61824	CZ	89
Ústí nad Labem	50.6607	14.03227	CZ	89
Slaný	50.23046	14.08693	CZ	88
Prosek	50.11525	14.50685	CZ	52
Prague	50.08804	14.42076	CZ	52
Neratovice	50.25926	14.51759	CZ	88
Modřany	50.01116	14.4096	CZ	52
Mladá Boleslav	50.41135	14.90318	CZ	88
Mělník	50.3505	14.47411	CZ	88
Litoměřice	50.53348	14.1318	CZ	89
Libeň	50.10819	14.47457	CZ	52
Letňany	50.13333	14.51667	CZ	52
Kralupy nad Vltavou	50.24107	14.31149	CZ	88
Kladno	50.14734	14.10285	CZ	88
Děčín	50.78215	14.21478	CZ	89
Česká Lípa	50.68551	14.53764	CZ	83
Braník	50.03597	14.41235	CZ	52
Brandýs nad Labem-Stará Boleslav	50.18709	14.66326	CZ	88
Černý Most	50.10475	14.57974	CZ	52
Zittau	50.89772	14.80764	DE	13
Bogatynia	50.90747	14.95634	PL	72
