Zuhres	48.0114	38.26444	UA	05
Yenakiyeve	48.23331	38.21137	UA	05
Torez	48.03876	38.59685	UA	05
Syevyerodonets’k	48.94832	38.49166	UA	14
Stakhanov	48.56818	38.64352	UA	14
Snizhne	48.02612	38.77225	UA	05
Shakhtars’k	48.05657	38.43826	UA	05
Popasna	48.63328	38.37804	UA	14
Pervomays’k	48.62988	38.54806	UA	14
Pereval’s’k	48.43779	38.84384	UA	14
Lysychans’k	48.90485	38.44207	UA	14
Krasnyy Luch	48.13954	38.93715	UA	14
Kirovs’k	48.63751	38.6428	UA	14
Khartsyz’k	48.04243	38.14728	UA	05
Horlivka	48.33576	38.05325	UA	05
Debal’tseve	48.34072	38.4049	UA	05
Bryanka	48.511	38.67222	UA	14
Alchevs’k	48.46893	38.81669	UA	14
