Теарце	42.07444	21.0525	MK	A5
Липково	42.15639	21.58528	MK	59
Kumanovo	42.13222	21.71444	MK	D7
Šuto Orizare	42.04	21.425	MK	A3
Butel	42.03083	21.44667	MK	F4
Čair	42.01528	21.44111	MK	C8
Vranje	42.55139	21.90028	RS	SE
Leskovac	42.99806	21.94611	RS	SE
Vitina	42.32139	21.35833	XK	10097357
Ferizaj	42.37056	21.15528	XK	10096138
Shtime	42.43306	21.03972	XK	10096138
Pristina	42.67272	21.16688	XK	10097360
Podujeva	42.91056	21.19306	XK	10097360
Kosovo Polje	42.66394	21.09611	XK	10097360
Gjilan	42.46045	21.46986	XK	10097357
