Tessenderlo	51.06513	5.08856	BE	VLG
Peer	51.1303	5.45952	BE	VLG
Neerpelt	51.22807	5.4427	BE	VLG
Mol	51.19188	5.11662	BE	VLG
Maaseik	51.09802	5.78379	BE	VLG
Lommel	51.23074	5.31349	BE	VLG
Houthalen	51.03427	5.37429	BE	VLG
Heusden	51.03664	5.28013	BE	VLG
Helchteren	51.05591	5.38244	BE	VLG
Beringen	51.04954	5.22606	BE	VLG
Balen	51.16837	5.17027	BE	VLG
Zaltbommel	51.81	5.24444	NL	03
Wijk bij Duurstede	51.97417	5.34167	NL	09
Wijchen	51.80917	5.725	NL	03
Westervoort	51.95583	5.97222	NL	03
Weert	51.25167	5.70694	NL	05
Wageningen	51.97	5.66667	NL	03
Waalwijk	51.6825	5.07083	NL	06
Waalre	51.38667	5.44444	NL	06
Vught	51.65333	5.2875	NL	06
Vianen	51.9925	5.09167	NL	09
Venray	51.525	5.975	NL	05
Velp	51.995	5.97361	NL	03
Veldhoven	51.41833	5.40278	NL	06
Veghel	51.61667	5.54861	NL	06
Valkenswaard	51.35083	5.45972	NL	06
Uden	51.66083	5.61944	NL	06
Tongelre	51.44889	5.51978	NL	06
Tilburg	51.55551	5.0913	NL	06
Tiel	51.88667	5.42917	NL	03
Someren	51.385	5.71111	NL	06
Sint-Oedenrode	51.5675	5.45972	NL	06
's-Hertogenbosch	51.69917	5.30417	NL	06
Schijndel	51.6225	5.43194	NL	06
Roermond	51.19417	5.9875	NL	05
Rhenen	51.95917	5.56806	NL	09
Oss	51.765	5.51806	NL	06
Oisterwijk	51.57917	5.18889	NL	06
Nuenen	51.47	5.55278	NL	06
Nijmegen	51.8425	5.85278	NL	03
Nederweert	51.28583	5.74861	NL	05
Loon op Zand	51.6275	5.075	NL	06
Lindenholt	51.8327	5.7934	NL	03
Leerdam	51.89333	5.09167	NL	11
Hilvarenbeek	51.48583	5.1375	NL	06
Heusden	51.73417	5.13889	NL	06
Helmond	51.48167	5.66111	NL	06
Heesch	51.73362	5.52672	NL	06
Groesbeek	51.77667	5.93611	NL	03
Goirle	51.52083	5.06667	NL	06
Gennep	51.69833	5.97361	NL	05
Geldrop	51.42167	5.55972	NL	06
Geldermalsen	51.88083	5.28889	NL	03
Elst	51.91917	5.84167	NL	03
Eindhoven	51.44083	5.47778	NL	06
Eersel	51.3575	5.31806	NL	06
Druten	51.88833	5.60556	NL	03
Culemborg	51.955	5.22778	NL	03
Cuijk	51.73083	5.87917	NL	06
Cranendonck	51.30417	5.58889	NL	06
Boxtel	51.59083	5.32917	NL	06
Born	51.03167	5.80972	NL	05
Bladel	51.36833	5.22083	NL	06
Beuningen	51.86083	5.76667	NL	03
Best	51.5075	5.39028	NL	06
Bergeijk	51.31917	5.35833	NL	06
Asten	51.40417	5.74861	NL	06
Arnhem	51.98	5.91111	NL	03
