Tarn Tāran	31.45112	74.92538	IN	23
Patti	31.28083	74.85722	IN	23
Fatehgarh Chūriān	31.86431	74.95665	IN	23
Amritsar	31.63661	74.87476	IN	23
Ajnāla	31.84391	74.76166	IN	23
Sharqpur	31.46333	74.1	PK	04
Rāja Jang	31.22083	74.25194	PK	04
Rāiwind	31.25444	74.21778	PK	04
Nārang	31.9132	74.51756	PK	04
Murīdke	31.8025	74.26167	PK	04
Lahore	31.54972	74.34361	PK	04
Kot Rādha Kishan	31.1725	74.09972	PK	04
Kasūr	31.11556	74.44667	PK	04
Kamoke	31.97444	74.22444	PK	04
Kāhna	31.36917	74.36528	PK	04
Baddomalhi	31.99283	74.66833	PK	04
